<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.RTS-12.18;1;27.09.2018;10:01;114280,0000000;114710,0000000;114200,0000000;114580,0000000;3486
SPFB.RTS-12.18;1;27.09.2018;10:02;114580,0000000;114730,0000000;114520,0000000;114570,0000000;2200
SPFB.RTS-12.18;1;27.09.2018;10:03;114570,0000000;114750,0000000;114560,0000000;114730,0000000;1254
SPFB.RTS-12.18;1;27.09.2018;10:04;114720,0000000;114790,0000000;114620,0000000;114670,0000000;1342
SPFB.RTS-12.18;1;27.09.2018;10:05;114690,0000000;114790,0000000;114650,0000000;114740,0000000;1091
SPFB.RTS-12.18;1;27.09.2018;10:06;114750,0000000;114830,0000000;114730,0000000;114740,0000000;1364
SPFB.RTS-12.18;1;27.09.2018;10:07;114750,0000000;114790,0000000;114690,0000000;114710,0000000;868
SPFB.RTS-12.18;1;27.09.2018;10:08;114710,0000000;114750,0000000;114670,0000000;114750,0000000;550
SPFB.RTS-12.18;1;27.09.2018;10:09;114750,0000000;114760,0000000;114680,0000000;114680,0000000;610
SPFB.RTS-12.18;1;27.09.2018;10:10;114700,0000000;114710,0000000;114660,0000000;114700,0000000;570
SPFB.RTS-12.18;1;27.09.2018;10:11;114700,0000000;114710,0000000;114630,0000000;114650,0000000;446
SPFB.RTS-12.18;1;27.09.2018;10:12;114650,0000000;114700,0000000;114620,0000000;114660,0000000;505
SPFB.RTS-12.18;1;27.09.2018;10:13;114670,0000000;114770,0000000;114650,0000000;114760,0000000;970
SPFB.RTS-12.18;1;27.09.2018;10:14;114760,0000000;114890,0000000;114730,0000000;114850,0000000;2169
SPFB.RTS-12.18;1;27.09.2018;10:15;114850,0000000;114920,0000000;114830,0000000;114910,0000000;1182
SPFB.RTS-12.18;1;27.09.2018;10:16;114910,0000000;114990,0000000;114890,0000000;114970,0000000;2337
SPFB.RTS-12.18;1;27.09.2018;10:17;114960,0000000;114980,0000000;114920,0000000;114950,0000000;935
SPFB.RTS-12.18;1;27.09.2018;10:18;114950,0000000;114970,0000000;114750,0000000;114800,0000000;2168
SPFB.RTS-12.18;1;27.09.2018;10:19;114790,0000000;114800,0000000;114660,0000000;114690,0000000;1359
SPFB.RTS-12.18;1;27.09.2018;10:20;114670,0000000;114740,0000000;114620,0000000;114630,0000000;1364
SPFB.RTS-12.18;1;27.09.2018;10:21;114630,0000000;114720,0000000;114620,0000000;114680,0000000;1018
SPFB.RTS-12.18;1;27.09.2018;10:22;114670,0000000;114800,0000000;114670,0000000;114780,0000000;711
SPFB.RTS-12.18;1;27.09.2018;10:23;114780,0000000;114910,0000000;114770,0000000;114890,0000000;1287
SPFB.RTS-12.18;1;27.09.2018;10:24;114880,0000000;114930,0000000;114770,0000000;114790,0000000;686
SPFB.RTS-12.18;1;27.09.2018;10:25;114790,0000000;114820,0000000;114760,0000000;114780,0000000;279
SPFB.RTS-12.18;1;27.09.2018;10:26;114780,0000000;114870,0000000;114730,0000000;114740,0000000;652
SPFB.RTS-12.18;1;27.09.2018;10:27;114750,0000000;114980,0000000;114720,0000000;114960,0000000;1293
SPFB.RTS-12.18;1;27.09.2018;10:28;114970,0000000;115000,0000000;114880,0000000;114950,0000000;1509
SPFB.RTS-12.18;1;27.09.2018;10:29;114950,0000000;115050,0000000;114950,0000000;115010,0000000;1068
SPFB.RTS-12.18;1;27.09.2018;10:30;115010,0000000;115110,0000000;115000,0000000;115090,0000000;1725
SPFB.RTS-12.18;1;27.09.2018;10:31;115100,0000000;115140,0000000;115070,0000000;115070,0000000;1277
SPFB.RTS-12.18;1;27.09.2018;10:32;115070,0000000;115120,0000000;115050,0000000;115060,0000000;537
SPFB.RTS-12.18;1;27.09.2018;10:33;115060,0000000;115070,0000000;115040,0000000;115050,0000000;291
SPFB.RTS-12.18;1;27.09.2018;10:34;115060,0000000;115080,0000000;115040,0000000;115060,0000000;333
SPFB.RTS-12.18;1;27.09.2018;10:35;115050,0000000;115140,0000000;115050,0000000;115140,0000000;507
SPFB.RTS-12.18;1;27.09.2018;10:36;115140,0000000;115170,0000000;115090,0000000;115090,0000000;879
SPFB.RTS-12.18;1;27.09.2018;10:37;115100,0000000;115140,0000000;115050,0000000;115050,0000000;472
SPFB.RTS-12.18;1;27.09.2018;10:38;115050,0000000;115150,0000000;115050,0000000;115130,0000000;233
